[1/648, 1075.62417497941]
[5/648, 138.321337776957]
[7/648, 39.5779394444380]
[11/648, 306.611482328869]
[13/648, 113.675094243744]
[17/648, -68.2544446049016]
[19/648, -83.2577807226625]
[23/648, -90.2106927781145]
[25/648, 151.246296851044]
[29/648, -220.296429394852]
[31/648, 46.5699538120269]
[35/648, -332.320573955690]
[37/648, -343.986125527581]
[41/648, -177.466961646175]
[43/648, -49.5324477327333]
[47/648, -24.2975570979426]
[49/648, -128.310877250115]
[53/648, 0.322614753270402]
[55/648, 9.47123349227609]
[59/648, 588.518379967240]
[61/648, 193.921527460321]
[65/648, 233.937242868089]
[67/648, -384.880195145401]
[71/648, -232.888551196006]
[73/648, -194.683854008316]
[77/648, 157.544505980014]
[79/648, -327.393939513550]
[83/648, 15.4397677444650]
[85/648, 251.743269793820]
[89/648, 59.7310150734510]
[91/648, 37.2153095022401]
[95/648, 56.0948597156545]
[97/648, -122.652991521883]
[101/648, 204.907040987545]
[103/648, 75.6702335651589]
[107/648, -200.489610383599]
[109/648, -87.8010177462953]
[113/648, -7.51084129005828]
[115/648, 58.2236074520680]
[119/648, -280.086308744263]
[121/648, 23.4608818096984]
[125/648, 26.6590589087832]
[127/648, 5.42597106540940]
[131/648, 66.1834093376891]
[133/648, 89.1154574855213]
[137/648, -73.7496679640594]
[139/648, 197.648381938916]
[143/648, -114.233345226788]
[145/648, -76.1165812796058]
[149/648, -78.4216160663734]
[151/648, 142.966775812764]
[155/648, 74.7828374749809]
[157/648, -97.3213852214779]
[161/648, -44.6718197631523]
[163/648, 207.671772763495]
[167/648, -159.074194194953]
[169/648, -430.543877230128]
[173/648, 141.904169649978]
[175/648, -119.300389381591]
[179/648, -56.9907840738110]
[181/648, -69.7564778695337]
[185/648, -675.984238038677]
[187/648, -68.4628877035869]
[191/648, 185.774603525411]
[193/648, -304.093164332315]
[197/648, 94.1794821572027]
[199/648, 70.1771516098353]
[203/648, 202.639232597889]
[205/648, 22.3204213375056]
[209/648, -388.257218574704]
[211/648, 293.337981353107]
[215/648, -249.059619433412]
[217/648, 166.306072808480]
[221/648, 108.183230261046]
[223/648, 38.9183053569974]
[227/648, -31.3447318917475]
[229/648, 152.018625895043]
[233/648, 170.871868056455]
[235/648, 147.129012787168]
[239/648, 39.0831184617198]
[241/648, 111.427800017345]
[245/648, 30.8262216303552]
[247/648, 118.237680823864]
[251/648, -1.80874625842282]
[253/648, -14.4562023095517]
[257/648, 33.2804811211578]
[259/648, -745.006345373587]
[263/648, 48.3017873764562]
[265/648, -147.834095999604]
[269/648, 265.655120248354]
[271/648, 274.537202150728]
[275/648, -1.45815549064098]
[277/648, -184.894209571951]
[281/648, 151.123152662140]
[283/648, -44.0637416325298]
[287/648, 17.5536623270532]
[289/648, 55.7009059469678]
[293/648, -143.305112060871]
[295/648, 37.8486756593444]
[299/648, -553.548323611470]
[301/648, -56.7299322135865]
[305/648, 490.938690165545]
[307/648, 467.404549361809]
[311/648, -430.051878019963]
[313/648, 8.55632867482144]
[317/648, -138.053973851720]
[319/648, -281.905933449794]
[323/648, -394.999171530235]
[325/648, 394.999171530235]
[329/648, 281.905933449794]
[331/648, 138.053973851720]
[335/648, -8.55632867482144]
[337/648, 430.051878019963]
[341/648, -467.404549361809]
[343/648, -490.938690165545]
[347/648, 56.7299322135865]
[349/648, 553.548323611470]
[353/648, -37.8486756593444]
[355/648, 143.305112060871]
[359/648, -55.7009059469678]
[361/648, -17.5536623270532]
[365/648, 44.0637416325298]
[367/648, -151.123152662140]
[371/648, 184.894209571951]
[373/648, 1.45815549064098]
[377/648, -274.537202150728]
[379/648, -265.655120248354]
[383/648, 147.834095999604]
[385/648, -48.3017873764562]
[389/648, 745.006345373587]
[391/648, -33.2804811211578]
[395/648, 14.4562023095517]
[397/648, 1.80874625842282]
[401/648, -118.237680823864]
[403/648, -30.8262216303552]
[407/648, -111.427800017345]
[409/648, -39.0831184617198]
[413/648, -147.129012787168]
[415/648, -170.871868056455]
[419/648, -152.018625895043]
[421/648, 31.3447318917475]
[425/648, -38.9183053569974]
[427/648, -108.183230261046]
[431/648, -166.306072808480]
[433/648, 249.059619433412]
[437/648, -293.337981353107]
[439/648, 388.257218574704]
[443/648, -22.3204213375056]
[445/648, -202.639232597889]
[449/648, -70.1771516098353]
[451/648, -94.1794821572027]
[455/648, 304.093164332315]
[457/648, -185.774603525411]
[461/648, 68.4628877035869]
[463/648, 675.984238038677]
[467/648, 69.7564778695337]
[469/648, 56.9907840738110]
[473/648, 119.300389381591]
[475/648, -141.904169649978]
[479/648, 430.543877230128]
[481/648, 159.074194194953]
[485/648, -207.671772763495]
[487/648, 44.6718197631523]
[491/648, 97.3213852214779]
[493/648, -74.7828374749809]
[497/648, -142.966775812764]
[499/648, 78.4216160663734]
[503/648, 76.1165812796058]
[505/648, 114.233345226788]
[509/648, -197.648381938916]
[511/648, 73.7496679640594]
[515/648, -89.1154574855213]
[517/648, -66.1834093376891]
[521/648, -5.42597106540940]
[523/648, -26.6590589087832]
[527/648, -23.4608818096984]
[529/648, 280.086308744263]
[533/648, -58.2236074520680]
[535/648, 7.51084129005828]
[539/648, 87.8010177462953]
[541/648, 200.489610383599]
[545/648, -75.6702335651589]
[547/648, -204.907040987545]
[551/648, 122.652991521883]
[553/648, -56.0948597156545]
[557/648, -37.2153095022401]
[559/648, -59.7310150734510]
[563/648, -251.743269793820]
[565/648, -15.4397677444650]
[569/648, 327.393939513550]
[571/648, -157.544505980014]
[575/648, 194.683854008316]
[577/648, 232.888551196006]
[581/648, 384.880195145401]
[583/648, -233.937242868089]
[587/648, -193.921527460321]
[589/648, -588.518379967240]
[593/648, -9.47123349227609]
[595/648, -0.322614753270402]
[599/648, 128.310877250115]
[601/648, 24.2975570979426]
[605/648, 49.5324477327333]
[607/648, 177.466961646175]
[611/648, 343.986125527581]
[613/648, 332.320573955690]
[617/648, -46.5699538120269]
[619/648, 220.296429394852]
[623/648, -151.246296851044]
[625/648, 90.2106927781145]
[629/648, 83.2577807226625]
[631/648, 68.2544446049016]
[635/648, -113.675094243744]
[637/648, -306.611482328869]
[641/648, -39.5779394444380]
[643/648, -138.321337776957]
[647/648, -1075.62417497941]
