[419/1024, 313.997803284180]
[421/1024, 76.4730436909827]
[423/1024, 197.173513944876]
[425/1024, -144.172166007250]
[427/1024, 275.585326932232]
[429/1024, 121.543838337839]
[431/1024, -114.365216608883]
[433/1024, -268.195428474341]
[435/1024, 46.4863220093404]
[437/1024, 219.227732892323]
[439/1024, 1215.74313371450]
[441/1024, 310.727965329789]
[443/1024, -258.447997527377]
[445/1024, -44.2620399076540]
[447/1024, 37.0832298535165]
[449/1024, 42.6586307259889]
[451/1024, -118.101118585272]
[453/1024, 146.975190171782]
[455/1024, -1136.40624717696]
[457/1024, 335.942488101864]
[459/1024, -759.361704533991]
[461/1024, -22.8477425761301]
[463/1024, 62.5865890589939]
[465/1024, -293.766986064051]
[467/1024, -12.9686936327083]
[469/1024, -329.063433813008]
[471/1024, -190.241418075124]
[473/1024, 78.7708526454745]
[475/1024, 0.202805370092867]
[477/1024, -43.3081520593760]
[479/1024, 152.100971241513]
[481/1024, 125.961169212791]
[483/1024, -573.076553354061]
[485/1024, -901.338926629596]
[487/1024, -123.281117870527]
[489/1024, -23.6150061602778]
[491/1024, -42.0876677186803]
[493/1024, -794.906313023890]
[495/1024, 133.889170824726]
[497/1024, -134.930451884379]
[499/1024, -175.559109468540]
[501/1024, -62.7169254345334]
[503/1024, -587.418925341899]
[505/1024, 418.532564819020]
[507/1024, -28.9389084255413]
[509/1024, -403.093417059742]
[511/1024, -698.585777428921]
[513/1024, 698.585777428921]
[515/1024, 403.093417059742]
[517/1024, 28.9389084255413]
[519/1024, -418.532564819020]
[521/1024, 587.418925341899]
[523/1024, 62.7169254345334]
[525/1024, 175.559109468540]
[527/1024, 134.930451884379]
[529/1024, -133.889170824726]
[531/1024, 794.906313023890]
[533/1024, 42.0876677186803]
[535/1024, 23.6150061602778]
[537/1024, 123.281117870527]
[539/1024, 901.338926629596]
[541/1024, 573.076553354061]
[543/1024, -125.961169212791]
[545/1024, -152.100971241513]
[547/1024, 43.3081520593760]
[549/1024, -0.202805370092867]
[551/1024, -78.7708526454745]
[553/1024, 190.241418075124]
[555/1024, 329.063433813008]
[557/1024, 12.9686936327083]
[559/1024, 293.766986064051]
[561/1024, -62.5865890589939]
