[1/1430, 2733.58765402040]
[3/1430, 836.240660789492]
[7/1430, 228.195327537198]
[9/1430, 671.028938646939]
[17/1430, -129.456008552081]
[19/1430, -194.718093814693]
[21/1430, -195.459664711348]
[23/1430, -183.433189069044]
[27/1430, 989.089675946865]
[29/1430, 126.679629763324]
[31/1430, -234.740769113611]
[37/1430, 182.137588347429]
[41/1430, -149.947213799350]
[43/1430, -542.250115081033]
[47/1430, 399.712413245619]
[49/1430, -215.003044328312]
[51/1430, -436.227831939645]
[53/1430, 1259.49296062247]
[57/1430, -115.868812559990]
[59/1430, 154.972520983195]
[61/1430, 409.372052033278]
[63/1430, 336.158097867112]
[67/1430, -264.211264983097]
[69/1430, 37.7861539282289]
[71/1430, 499.483535151766]
[73/1430, -158.514957600438]
[79/1430, -481.557053665439]
[81/1430, 68.3438673714620]
[83/1430, 27.5129287466926]
[87/1430, 298.041258549665]
[89/1430, -423.211509353202]
[93/1430, -580.875760397403]
[97/1430, 54.3290931207213]
[101/1430, -266.296057851747]
[103/1430, 40.0802156103291]
[107/1430, -519.502715153919]
[109/1430, -65.3678786154904]
[111/1430, -311.125677153925]
[113/1430, 301.020727397836]
[119/1430, -640.249902037239]
[123/1430, -690.301229332380]
[127/1430, -34.7772534965931]
[129/1430, -160.528416337517]
[131/1430, 614.736826402561]
[133/1430, -1025.63034849086]
[137/1430, -446.115814219134]
[139/1430, -245.086687661426]
[141/1430, 800.221544057883]
[147/1430, -628.422425253165]
[149/1430, 337.755451712171]
[151/1430, 525.867711029201]
[153/1430, -388.106212818662]
[157/1430, -172.402615480714]
[159/1430, 1739.00650539724]
[161/1430, 522.516346419670]
[163/1430, -389.512146431506]
[167/1430, -540.062716005411]
[171/1430, 185.969208830104]
[173/1430, 116.606101689831]
[177/1430, -282.996590077069]
[179/1430, 739.305394373018]
[181/1430, -738.752832658908]
[183/1430, 55.9955922286626]
[189/1430, -119.988392668634]
[191/1430, 133.541833295156]
[193/1430, -487.073024977807]
[197/1430, -12.3258064113560]
[199/1430, 232.428486982672]
[201/1430, -348.600917072415]
[203/1430, 118.648866854074]
[207/1430, 266.805849566813]
[211/1430, 886.457399327048]
[213/1430, 998.282116804186]
[217/1430, -278.187611729157]
