[1/811, 1404.03286475444]
[2/811, 612.548857920535]
[3/811, 321.450230026605]
[4/811, 362.915883839261]
[5/811, 53.2221462069546]
[6/811, -25.1740021645556]
[7/811, 344.032062100955]
[8/811, 66.4132536845943]
[9/811, -178.348388728022]
[10/811, -214.530814552945]
[11/811, 136.284574713231]
[12/811, 63.4224999696052]
[13/811, 79.8073640446271]
[14/811, 426.259528643948]
[15/811, -344.168463835563]
[16/811, -101.903814794220]
[17/811, 54.9479325914440]
[18/811, -398.717518592133]
[19/811, -149.409437210395]
[20/811, -26.2150276654067]
[21/811, 64.6970026148563]
[22/811, 42.8439192480931]
[23/811, -162.479000253084]
[24/811, 187.473501515569]
[25/811, 95.9929730727265]
[26/811, 143.604663111523]
[27/811, -514.544977957353]
[28/811, 563.502708200698]
[29/811, 571.255471439472]
[30/811, -543.724417461617]
[31/811, 130.041884665941]
[32/811, -298.670918769916]
[33/811, -128.818601111583]
[34/811, 194.721165259502]
[35/811, -191.407684477578]
[36/811, -114.695011019746]
[37/811, 70.9161266351730]
[38/811, -342.157892254031]
[39/811, 268.132255060318]
[40/811, -83.9731137133981]
[41/811, -100.497201671738]
[42/811, -15.2403896261208]
[43/811, -140.288478705256]
[44/811, -168.866418590433]
[45/811, -653.651970816880]
[46/811, 21.2865311605403]
[47/811, -332.401097283422]
[48/811, 48.3232981424770]
[49/811, -23.8721963703933]
[50/811, 162.448394695160]
[51/811, -80.8911673088208]
[52/811, 309.892959055320]
[53/811, -137.454525141477]
[54/811, -702.182536186899]
[55/811, 384.002815171758]
[56/811, 189.025205264821]
[57/811, -21.3581856563654]
[58/811, 733.374876566538]
[59/811, 399.597734741702]
[60/811, -185.312950802983]
[61/811, -73.4889335980050]
[62/811, -73.3857363547836]
[63/811, 276.624433433165]
[64/811, -469.032080243092]
[65/811, 52.1707224445259]
[66/811, -278.216554324783]
[67/811, 38.3107883965787]
[68/811, 62.1131701497527]
[69/811, -414.267360651264]
[70/811, 7.83251852180704]
[71/811, 67.6996308023677]
[72/811, -121.997104727777]
[73/811, 217.594824555370]
[74/811, 224.542759844940]
[75/811, -126.047418067672]
[76/811, -513.275273419430]
[77/811, 106.557820061855]
[78/811, 404.665252215251]
[79/811, 134.546684669814]
[80/811, 50.9436180758828]
[81/811, -808.845772987551]
[82/811, -240.411258922955]
[83/811, -7.48447537703388]
[84/811, 143.731953170101]
[85/811, 53.1966154801014]
[86/811, -334.296469972761]
[87/811, 38.7393173107451]
[88/811, -15.1244089909907]
[89/811, -316.996610659362]
[90/811, -836.357858086560]
[91/811, -1.14692792985560]
[92/811, -51.7271489806341]
[93/811, -97.8636517938784]
[94/811, -70.5272998612744]
[95/811, -2.16509871094050]
[96/811, 56.9994175054120]
[97/811, 37.4153690025227]
[98/811, 52.8641899918239]
[99/811, 121.389888571834]
[100/811, 297.264005065839]
[101/811, -244.897342278094]
[102/811, 106.243466279449]
[103/811, 375.350320575779]
[104/811, 479.364018587086]
