[1/1597, 3108.93511066756]
[2/1597, 1378.29011057787]
[3/1597, 747.707735957604]
[4/1597, 401.431455859894]
[5/1597, 483.814331324811]
[6/1597, 7.78547833725958]
[7/1597, -120.978753194196]
[8/1597, 339.171556501506]
[9/1597, 457.192552155915]
[10/1597, 102.892719169890]
[11/1597, 33.5388640235611]
[12/1597, -511.849420140639]
[13/1597, 315.384211065705]
[14/1597, -611.472663645759]
[15/1597, 566.372096100814]
[16/1597, 86.0278239556652]
[17/1597, 927.936545329284]
[18/1597, 75.2858921187442]
[19/1597, -798.222382708416]
[20/1597, 299.114807080455]
[21/1597, -856.984379461453]
[22/1597, 290.164735773875]
[23/1597, -8.14902717885912]
[24/1597, -93.7046646498213]
[25/1597, 109.562892121587]
[26/1597, 254.456424911762]
[27/1597, -234.463608015380]
[28/1597, -1020.84419531436]
[29/1597, -320.181575793268]
[30/1597, 68.3273185736786]
[31/1597, -741.180032537203]
[32/1597, 337.738027993267]
[33/1597, 438.852782370999]
[34/1597, 1205.53705157945]
[35/1597, -167.786145585344]
[36/1597, 94.8503306507019]
[37/1597, 342.766296292369]
[38/1597, -1188.60720153397]
[39/1597, 473.235262121748]
[40/1597, 158.192802306104]
[41/1597, 483.431916111026]
[42/1597, -1242.56069560355]
[43/1597, 323.933074538474]
[44/1597, -18.0328029014688]
[45/1597, 990.528023733126]
[46/1597, -361.367054591179]
[47/1597, 1351.72840250934]
[48/1597, 217.386560194638]
[49/1597, 129.199479852954]
[50/1597, 391.520998450762]
[51/1597, 3.32667403198330]
[52/1597, 472.875413555356]
[53/1597, 103.250524160424]
[54/1597, -461.268611825055]
[55/1597, -507.167601748655]
[56/1597, -340.401107619739]
[57/1597, -1404.87484350195]
[58/1597, -277.451839624069]
[59/1597, -366.179681574291]
[60/1597, -237.554049707669]
[61/1597, 312.244747974387]
[62/1597, -187.121808794875]
[63/1597, -10.5063293707457]
[64/1597, 220.787736561380]
[65/1597, 546.568886458266]
[66/1597, 702.547152284765]
[67/1597, -584.693381729320]
[68/1597, 421.321720313640]
[69/1597, -603.143800255535]
[70/1597, 75.8018711320091]
[71/1597, 1201.27138423529]
[72/1597, 382.925210793855]
[73/1597, -473.545081590257]
[74/1597, 17.4021188533219]
[75/1597, 232.404758223232]
[76/1597, -1555.41168593000]
[77/1597, 234.532468252341]
[78/1597, -55.7475421397207]
[79/1597, -345.604582605901]
[80/1597, 458.401866319547]
[81/1597, -633.242563085642]
[82/1597, 348.834352654355]
[83/1597, 225.369379733246]
[84/1597, -1607.38919109293]
[85/1597, 3.11898912102657]
[86/1597, 673.951079181947]
[87/1597, 335.279441903043]
[88/1597, 35.4039577010292]
[89/1597, 459.608700038932]
[90/1597, 323.990345260917]
[91/1597, 223.339247626424]
[92/1597, -52.3780336120004]
[93/1597, 12.3879617503762]
[94/1597, 1682.62973399672]
[95/1597, 36.1208375254708]
[96/1597, 547.674885796919]
[97/1597, 198.393194509604]
[98/1597, 182.138008324868]
[99/1597, 21.9177892781957]
[100/1597, 287.533869128426]
[101/1597, 380.007004947769]
[102/1597, 315.570083896547]
[103/1597, -1365.37013032500]
[104/1597, 17.6382524124926]
[105/1597, -54.5729665055088]
[106/1597, 324.201730306760]
[107/1597, 9.55010891512907]
[108/1597, -26.5788407262615]
[109/1597, 59.9774791942583]
[110/1597, 31.0002950202723]
[111/1597, -137.231766765082]
[112/1597, 107.320064224757]
[113/1597, 430.960891130063]
[114/1597, -1765.06918365272]
[115/1597, 219.023713597554]
[116/1597, 91.7536648080432]
[117/1597, 420.923553667481]
[118/1597, -524.031774963427]
[119/1597, 30.3161925695700]
[120/1597, -516.893419804248]
[121/1597, 993.698064713999]
[122/1597, 577.522258900807]
[123/1597, 733.994053320993]
[124/1597, -183.741602193946]
[125/1597, 202.060291647424]
[126/1597, -332.396089492183]
[127/1597, -0.580101065488572]
[128/1597, -258.498756876466]
[129/1597, 29.0200963116565]
[130/1597, 874.338210974205]
[131/1597, -343.323577766658]
[132/1597, 139.548337589347]
[133/1597, -1844.25741943426]
[134/1597, -75.9498227673466]
[135/1597, 258.290007144827]
[136/1597, 325.431719717281]
[137/1597, 358.295252936575]
[138/1597, -903.118048497759]
[139/1597, 428.111071865983]
[140/1597, 239.318829150403]
[141/1597, 155.783257656997]
[142/1597, 416.340010662846]
[143/1597, -1003.41812749319]
[144/1597, 661.903102045899]
[145/1597, -766.102965821379]
[146/1597, -2.96833751947814]
[147/1597, -391.681829048959]
