[1/512, 811.551460369981]
[3/512, 243.680434577637]
[5/512, 118.076825916823]
[7/512, -65.2386817753213]
[9/512, 221.681434138064]
[11/512, -63.5720564094452]
[13/512, 44.6282072135268]
[15/512, -42.6072520591582]
[17/512, -56.1827312877277]
[19/512, 300.574644435055]
[21/512, -7.24021141584655]
[23/512, -105.827770968761]
[25/512, 230.658729522197]
[27/512, 347.947476008423]
[29/512, 193.512826825616]
[31/512, -243.591859399891]
[33/512, -253.947469259138]
[35/512, -59.0778424000181]
[37/512, -92.8220619970353]
[39/512, -112.558376436725]
[41/512, 299.773065656622]
[43/512, 115.067785233352]
[45/512, -105.096503110649]
[47/512, 44.8889013935754]
[49/512, 23.8460860164500]
[51/512, -159.458485890921]
[53/512, 276.724823902956]
[55/512, -50.1021022999000]
[57/512, 459.019542135165]
[59/512, -83.4646686401959]
[61/512, 54.1525678499107]
[63/512, -169.107602470223]
[65/512, -135.085816246362]
[67/512, 103.647441123552]
[69/512, 59.4313085442099]
[71/512, -71.8179681148416]
[73/512, -494.470235512590]
[75/512, -8.81403596491038]
[77/512, 92.5469220830282]
[79/512, 107.028960673268]
[81/512, 85.6778595108284]
[83/512, -241.671317283343]
[85/512, -202.736177691250]
[87/512, -13.2246389157843]
[89/512, -303.670530392375]
[91/512, -201.859957705208]
[93/512, -422.980648746403]
[95/512, -86.0647419603191]
[97/512, -97.2693675459850]
[99/512, -66.5796891269437]
[101/512, -77.2850595864178]
[103/512, 91.8723146383925]
[105/512, -214.286726094768]
[107/512, 154.499366732794]
[109/512, -28.6800877251966]
[111/512, 46.4788269217333]
[113/512, 25.5484561391201]
[115/512, 47.4015793288754]
[117/512, -244.341183918787]
[119/512, -40.8689459686710]
[121/512, -173.461347910534]
[123/512, 66.0597419855395]
[125/512, -14.7084442779848]
[127/512, -153.659801786804]
[129/512, 26.6597265113056]
[131/512, 229.041101820265]
[133/512, 138.311750931560]
[135/512, 10.3281252847260]
[137/512, -125.651614276556]
[139/512, -1.53150000523086]
[141/512, 144.192289504119]
[143/512, 80.7788791087843]
[145/512, 60.4522502874701]
[147/512, -44.2489855446017]
[149/512, 33.5202689818255]
[151/512, 18.4355193976702]
[153/512, -140.028449265162]
[155/512, -87.1116392208416]
[157/512, -148.906762176524]
[159/512, -3.80627101048520]
[161/512, -14.7799306456080]
[163/512, 94.8925106012201]
[165/512, -19.5943488932036]
[167/512, 22.4963667826201]
[169/512, -165.194277063377]
[171/512, 633.334108891466]
[173/512, 58.1460640593224]
[175/512, 141.278874400263]
[177/512, 123.976173089848]
[179/512, 43.3094543914474]
[181/512, -69.0022229123309]
[183/512, 138.688954149155]
[185/512, -62.3043645351125]
[187/512, 84.1652614430109]
[189/512, 47.9491874179262]
[191/512, -43.0723953836615]
[193/512, -9.11982005472405]
[195/512, -320.805121369265]
[197/512, 396.977337396574]
[199/512, -118.205155873420]
[201/512, -82.5365537837534]
[203/512, -51.4412432960453]
[205/512, 550.445520810858]
[207/512, 214.954203186150]
[209/512, 195.715457461703]
[211/512, 27.0246129562413]
[213/512, 17.9875690487627]
[215/512, -40.5031883678587]
[217/512, -41.2011674047915]
[219/512, -139.213428191503]
[221/512, -50.0561043484367]
[223/512, 25.2484104238616]
[225/512, 13.9745544692378]
[227/512, -31.8380520142839]
