[1/2200, 4507.01743005473]
[3/2200, 1104.76313811208]
[7/2200, 394.140500363217]
[9/2200, 654.731620085486]
[13/2200, 280.293363362521]
[17/2200, -17.3763730953693]
[19/2200, 467.105137294390]
[21/2200, -245.594773717370]
[23/2200, 753.177226873531]
[27/2200, 1072.98487236267]
[29/2200, -67.8375645816016]
[31/2200, 1612.54592387774]
[37/2200, 337.378590032245]
[39/2200, -24.1821259835076]
[41/2200, 1056.26190673035]
[43/2200, 568.845621375050]
[47/2200, -57.3722355502622]
[49/2200, 574.676176441483]
[51/2200, 14.4047989360610]
[53/2200, -1405.91680550648]
[57/2200, 908.755910212799]
[59/2200, -670.849279321170]
[61/2200, 42.3298880960168]
[63/2200, 170.907856017034]
[67/2200, -802.119739986103]
[69/2200, 216.106304294503]
[71/2200, 2133.59855544949]
[73/2200, -156.952864578107]
[79/2200, 55.4973166815657]
[81/2200, -85.8009424086803]
[83/2200, -1726.05489194937]
[87/2200, -926.482645236459]
[89/2200, -181.710276006411]
[91/2200, 386.198022472730]
[93/2200, 418.300729589814]
[97/2200, -407.638344391337]
[101/2200, 325.183659514435]
[103/2200, -125.213395242363]
[107/2200, 64.0233025572750]
[109/2200, -161.322703572917]
[111/2200, -129.273473124487]
[113/2200, -97.5398171335271]
[117/2200, -407.956226519698]
[119/2200, 275.587218976871]
[123/2200, 281.518105672759]
[127/2200, -73.1561971794350]
[129/2200, -350.336791338148]
[131/2200, 413.249765466507]
[133/2200, 410.480793623838]
[137/2200, 532.647672007025]
[139/2200, 465.069913801048]
[141/2200, -491.277800358377]
[147/2200, 340.198413498316]
[149/2200, -736.314025922961]
[151/2200, 405.044787472427]
[153/2200, 374.486695863709]
[157/2200, -1082.37535972930]
[159/2200, -339.557546227285]
[161/2200, 1927.82279615314]
[163/2200, 2213.20568299650]
[167/2200, 556.056121458534]
[169/2200, -501.591916491384]
[171/2200, -73.6358094431412]
[173/2200, -340.871155354469]
[177/2200, -1394.28941552151]
[179/2200, -517.403772966813]
[181/2200, -275.354580623506]
[183/2200, -719.902166660927]
[189/2200, -605.718850841547]
[191/2200, 451.828846613939]
[193/2200, 1698.77725199786]
[197/2200, -1594.44697031835]
[199/2200, 761.216437626018]
[201/2200, -67.0722720767593]
[203/2200, -41.5751222330135]
[207/2200, -442.549143424721]
[211/2200, 120.810400564710]
[213/2200, 307.997786220522]
[217/2200, -44.3309069586559]
[219/2200, -926.449528886863]
[221/2200, -669.437549840954]
[223/2200, -232.190127452852]
[227/2200, 324.807129734584]
[229/2200, 622.108719595719]
[233/2200, 109.840020081568]
[237/2200, -295.475124575359]
[239/2200, 391.091437195211]
[241/2200, -235.294958560758]
[243/2200, 184.014239408635]
[247/2200, 547.620716859718]
[249/2200, -451.229343473523]
[251/2200, -1062.81480616751]
[257/2200, -181.775866730612]
[259/2200, 729.912560611227]
[261/2200, -1662.46931089139]
[263/2200, 167.321308157150]
[267/2200, 224.040477001217]
[269/2200, 772.407136502231]
[271/2200, -325.548761164453]
[273/2200, 1036.23447968063]
[277/2200, 465.020492094917]
[279/2200, -298.205227948330]
[281/2200, 662.533354758863]
[283/2200, -125.528221886879]
[287/2200, 2321.77323763962]
[289/2200, 219.142125960010]
[291/2200, -910.976054241298]
[293/2200, -687.579052305380]
[299/2200, -49.3607264922404]
[301/2200, -65.9077643564124]
[303/2200, 938.742342634495]
[307/2200, 1878.51642991981]
[309/2200, 220.046608368620]
[311/2200, 848.752715162538]
[313/2200, -305.622135422923]
[317/2200, -438.315288180301]
[321/2200, 722.551561918235]
[323/2200, -208.366431307668]
[327/2200, -507.945136007980]
[329/2200, 289.759982592645]
[331/2200, 321.349295428791]
[333/2200, -471.942042035450]
[337/2200, 4.89724484435587]
[339/2200, 249.613633934135]
[343/2200, -207.113813351258]
[347/2200, -739.164806523272]
[349/2200, -43.4048993102784]
[351/2200, 465.969323582904]
[353/2200, 183.584424814817]
[357/2200, 367.921876989358]
[359/2200, 693.574952922139]
[361/2200, 52.3497354390164]
[367/2200, 1385.58429658895]
[369/2200, -272.700477887960]
[371/2200, -27.2878330826862]
[373/2200, 259.272337238757]
[377/2200, -206.693429980102]
[379/2200, 66.2402873278810]
[381/2200, -911.976579168888]
[383/2200, 826.491951957457]
[387/2200, 178.585402442312]
[389/2200, 329.702042460451]
[391/2200, -177.666894572274]
[393/2200, 28.2542130800214]
[397/2200, 1112.07957914026]
[399/2200, -357.349838660729]
[401/2200, 281.751623253062]
[403/2200, -536.465992077670]
[409/2200, -279.514945360667]
[411/2200, 1357.71700476477]
[413/2200, 802.940567457332]
[417/2200, 1024.72065796024]
[419/2200, -2383.22236843979]
[421/2200, 239.165802080650]
[423/2200, -877.902885295195]
[427/2200, -738.175709021303]
[431/2200, 34.8598689730221]
[433/2200, -306.951385304583]
[437/2200, 191.040756003524]
[439/2200, -841.900838303831]
[441/2200, 59.7669303576322]
[443/2200, -521.250043942348]
[447/2200, -64.9568346762049]
[449/2200, 1815.36266754391]
[453/2200, 790.925422324356]
[457/2200, -844.221287680828]
[459/2200, 1129.78675666890]
[461/2200, -1.08930401781048]
[463/2200, -416.431165338275]
[467/2200, 290.214388123512]
[469/2200, 133.767014228974]
[471/2200, -727.228235924504]
[477/2200, 132.822385704495]
[479/2200, 249.119212338714]
[481/2200, -745.418146576290]
[483/2200, 518.770454822980]
[487/2200, -324.988656648136]
[489/2200, 2971.41393190911]
[491/2200, 188.079068120549]
[493/2200, 437.226066558455]
[497/2200, 302.715319167362]
[499/2200, 33.9506042212242]
[501/2200, 1323.02788394585]
[503/2200, -213.263926020902]
[507/2200, 604.960285712779]
[509/2200, 521.721317433108]
[511/2200, -400.975017894356]
[513/2200, -854.113809212303]
[519/2200, 356.032167864848]
[521/2200, -744.929871933005]
[523/2200, 452.413024138319]
[527/2200, 663.002443792436]
[529/2200, -121.137184906994]
[531/2200, -2165.29492563783]
[533/2200, 145.328125095603]
[537/2200, -1161.27857072231]
[541/2200, 1618.21053219061]
[543/2200, -495.848246266932]
[547/2200, -148.913094440819]
[549/2200, -366.094444383266]
[551/2200, 917.094440304987]
[553/2200, -766.753608925375]
[557/2200, 138.536015334537]
[559/2200, -318.189628811765]
[563/2200, 184.688473546192]
[567/2200, -1330.68083071376]
[569/2200, 605.871027399862]
[571/2200, 1163.58137108116]
[573/2200, 92.1149294631632]
[577/2200, -152.079113978999]
[579/2200, 2454.37048040843]
[581/2200, 144.041208654748]
[587/2200, 264.303447093808]
[589/2200, -5.05441653309655]
[591/2200, -130.692479955589]
[593/2200, 34.0598928288570]
[597/2200, -135.166338584193]
[599/2200, -294.305788209113]
[601/2200, -331.950677194838]
[603/2200, 403.102995787442]
[607/2200, 605.546028019592]
[609/2200, 634.891459349366]
[611/2200, -1001.64928868443]
[613/2200, -619.642407797115]
[617/2200, 466.078912720745]
[619/2200, -39.3801770863179]
[621/2200, 325.043499881708]
[623/2200, -1247.85270746065]
[629/2200, 651.344825426673]
[631/2200, -1074.55565305894]
[633/2200, 351.432872876629]
[637/2200, 620.984422810566]
[639/2200, -667.783084272652]
[641/2200, -106.519652043970]
[643/2200, -126.419368692439]
[647/2200, -2527.73733955273]
[651/2200, -431.410024281089]
[653/2200, -684.494060157872]
[657/2200, -181.900229418141]
[659/2200, -254.351233413123]
[661/2200, 2.62601590183730]
[663/2200, -1505.93848823062]
[667/2200, -216.437061712155]
[669/2200, -1009.04211111187]
[673/2200, 20.7960949686010]
[677/2200, 2713.04555886168]
[679/2200, -1437.95621547728]
[681/2200, 709.925704328776]
[683/2200, 56.7594023703433]
[687/2200, -28.1977506477766]
[689/2200, -203.308681447123]
[691/2200, -312.449104910879]
[697/2200, -325.783291880784]
[699/2200, 573.772038283384]
[701/2200, -300.881910693930]
[703/2200, -124.048579372882]
[707/2200, -587.287374802989]
[709/2200, -840.856787999025]
[711/2200, 268.866130921654]
[713/2200, 326.415739954624]
[717/2200, 9.16105553018341]
[719/2200, -28.6586786464329]
[721/2200, -1230.72501348765]
[723/2200, -849.218584122287]
[727/2200, 324.351431907553]
[729/2200, 819.171242010882]
[731/2200, -531.834336363701]
[733/2200, -3738.12335835330]
[739/2200, 801.270424124132]
[741/2200, 57.5339630087953]
[743/2200, 287.534064060472]
[747/2200, 330.038549097436]
[749/2200, 516.730053966403]
[751/2200, -759.723190537012]
[753/2200, -200.378099627018]
[757/2200, 1379.20518605556]
[761/2200, -1035.27913336183]
[763/2200, -960.936232992771]
[767/2200, 24.4162841497888]
[769/2200, 560.361249750251]
[771/2200, 592.135772487754]
[773/2200, 1993.75381790738]
[777/2200, -211.282488194544]
[779/2200, 75.4011841938491]
[783/2200, -446.710090986606]
[787/2200, 1218.62220879456]
[789/2200, 35.1650057086844]
[791/2200, -1398.39434611804]
[793/2200, -456.149436800771]
[797/2200, -98.6142289268446]
[799/2200, -965.063741160675]
[801/2200, 543.494006525621]
[807/2200, -70.9474194293622]
[809/2200, -19.7717844835032]
[811/2200, 426.556247660579]
[813/2200, -676.668752707667]
[817/2200, -576.627736902445]
[819/2200, 253.887675745911]
[821/2200, -181.420118551988]
[823/2200, -41.2245589068825]
[827/2200, -17.1551269845582]
[829/2200, 1586.20214388881]
[831/2200, -100.692346241899]
[833/2200, -1283.79838802665]
[837/2200, 362.529874592493]
[839/2200, 383.987299252359]
[841/2200, 360.660007640090]
[843/2200, 1263.36023142483]
[849/2200, 15.5171902887849]
[851/2200, -499.886915691913]
[853/2200, -204.645264200625]
[857/2200, 279.706261888236]
[859/2200, -422.063370989372]
[861/2200, 653.852145715157]
[863/2200, -78.0023735859176]
[867/2200, 888.839634004330]
[871/2200, 141.482633580430]
[873/2200, -1652.63431377116]
[877/2200, -399.830127209928]
[879/2200, -486.255993673209]
[881/2200, 415.409731475234]
[883/2200, 1160.02317374583]
[887/2200, -531.544935489081]
[889/2200, -454.064365536630]
[893/2200, -183.155355927642]
[897/2200, 779.938764221801]
[899/2200, -593.388187133811]
[901/2200, 85.9943481285738]
